t1,t2,cost,n_auto,n_manual,n_reject,appr_rate,manual_rate,reject_rate
0.14,0.33999999999999997,325448.0,207126,35515,3367,0.8419482293258755,0.14436522389515788,0.013686546778966538
0.14,0.35,325448.0,207126,35515,3367,0.8419482293258755,0.14436522389515788,0.013686546778966538
0.14,0.36,325448.0,207126,35515,3367,0.8419482293258755,0.14436522389515788,0.013686546778966538
0.14,0.37,325448.0,207126,36325,2557,0.8419482293258755,0.1476577997463497,0.010393970927774707
0.14,0.38,325448.0,207126,36325,2557,0.8419482293258755,0.1476577997463497,0.010393970927774707
0.14,0.39,325448.0,207126,36983,1899,0.8419482293258755,0.1503325095118858,0.007719261162238626
0.14,0.39999999999999997,325448.0,207126,37026,1856,0.8419482293258755,0.15050730057559103,0.007544470098533381
0.14,0.41,325448.0,207126,37275,1607,0.8419482293258755,0.15151946278169814,0.0065323078924262624
0.14,0.42,325448.0,207126,37275,1607,0.8419482293258755,0.15151946278169814,0.0065323078924262624
0.14,0.42999999999999994,325448.0,207126,38017,865,0.8419482293258755,0.1545356248577282,0.0035161458163962146
0.14,0.43999999999999995,325448.0,207126,38373,509,0.8419482293258755,0.1559827322688693,0.002069038405255114
0.14,0.44999999999999996,325448.0,207126,38373,509,0.8419482293258755,0.1559827322688693,0.002069038405255114
0.14,0.45999999999999996,325448.0,207126,38373,509,0.8419482293258755,0.1559827322688693,0.002069038405255114
0.14,0.47,325448.0,207126,38373,509,0.8419482293258755,0.1559827322688693,0.002069038405255114
0.14,0.48,325448.0,207126,38471,411,0.8419482293258755,0.15638109329777894,0.0016706773763454847
0.14,0.49,325448.0,207126,38471,411,0.8419482293258755,0.15638109329777894,0.0016706773763454847
0.14,0.49999999999999994,325448.0,207126,38471,411,0.8419482293258755,0.15638109329777894,0.0016706773763454847
0.14,0.51,325448.0,207126,38473,409,0.8419482293258755,0.15638922311469547,0.0016625475594289616
0.14,0.52,325448.0,207126,38473,409,0.8419482293258755,0.15638922311469547,0.0016625475594289616
0.14,0.53,325448.0,207126,38473,409,0.8419482293258755,0.15638922311469547,0.0016625475594289616
0.14,0.54,325448.0,207126,38473,409,0.8419482293258755,0.15638922311469547,0.0016625475594289616
0.14,0.5499999999999999,325448.0,207126,38842,40,0.8419482293258755,0.15788917433579397,0.0001625963383304608
0.14,0.5599999999999999,325448.0,207126,38842,40,0.8419482293258755,0.15788917433579397,0.0001625963383304608
0.14,0.57,325448.0,207126,38842,40,0.8419482293258755,0.15788917433579397,0.0001625963383304608
0.14,0.58,325448.0,207126,38842,40,0.8419482293258755,0.15788917433579397,0.0001625963383304608
